density,density_level,target_long_fraction_pct,model_key,model_label,method,method_variant,resource_profile,kv_profile,repeat_index,req_id,prefill_service_ms,decode_service_ms,decode_first_token_ms,source_first_latency_ms,source_finish_latency_ms
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_13,140.91345202177763,8421.441390004475,4.154754977207631,145.06820699898526,8562.354842026252
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_14,141.85642095981166,8414.603350043762,2.9158120159991086,144.77223297581077,8556.459771003574
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_15,142.15607097139582,8417.460581054911,131.52282157898298,141.82612905278802,8559.616652026307
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_16,140.49838902428746,8437.116701970808,3.3132399548776448,143.8116289791651,8577.615090995096
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_17,296.49967496516183,8390.386106038932,8.937933074776083,305.4376080399379,8686.885781004094
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_18,142.9270170046948,8413.23890601052,2.9119839891791344,145.83900099387392,8556.165923015215
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_19,145.8010030328296,8406.64697100874,1.1503860005177557,146.95138903334737,8552.44797404157
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_20,143.2618239778094,8415.46848602593,2.4328810395672917,145.6947050173767,8558.730310003739
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_21,143.25002196710557,8447.202420036774,1.8761460669338703,145.12616803403944,8590.45244200388
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_22,141.92726800683886,8435.2379119955,4.386632994282991,146.31390100112185,8577.16518000234
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_23,142.45305897202343,8398.103434010409,1.1435250635258853,143.5965840355493,8540.556492982432
high_l10,high,10,gemma-2-9b-it,google--gemma-2-9b-it,DistServe,DistServe-2A100,distserve_2a100,realistic_pcie,0,short_extra_24,141.37884799856693,8413.774023007136,2.8761139838024974,144.25496198236942,8555.152871005703
